Latitude,Longitude,Elevation
45.42369000,-71.1244800,586.0
45.42368000,-71.1244900,586.0
45.42368000,-71.1245300,586.0
45.42366000,-71.1245900,586.0
45.42368000,-71.1246700,586.0
45.42372000,-71.1247100,586.0
45.42372000,-71.1247700,586.0
45.42378000,-71.1249000,587.0
45.42385000,-71.1249600,587.0
45.42390000,-71.1249700,588.0
45.42395000,-71.1251100,589.0
45.42396000,-71.1251900,590.0
45.42399000,-71.1252700,590.0
45.42410000,-71.1253100,591.0
45.42414000,-71.1253300,592.0
45.42417000,-71.1253500,592.0
45.42418000,-71.1253600,592.0
45.42421000,-71.1253600,592.0
45.42427000,-71.1253300,592.0
45.42431000,-71.1253300,592.0
45.42436000,-71.1253500,593.0
45.42448000,-71.1254400,593.0
45.42454000,-71.1254900,594.0
45.42464000,-71.1255600,594.0
45.42466000,-71.1255800,594.0
45.42473000,-71.1256200,595.0
45.42478000,-71.1256700,595.0
45.42489000,-71.1258200,597.0
45.42491000,-71.1258400,598.0
45.42494000,-71.1258600,599.0
45.42497000,-71.1258700,599.0
45.42501000,-71.1259000,600.0
45.42508000,-71.1259400,601.0
45.42519000,-71.1259800,603.0
45.42522000,-71.1260000,603.0
45.42531000,-71.1260700,605.0
45.42537000,-71.1261400,606.0
45.42541000,-71.1261600,607.0
45.42545000,-71.1261500,608.0
45.42552000,-71.1261200,609.0
45.42559000,-71.1260500,609.0
45.42563000,-71.1260000,609.0
45.42564000,-71.1259300,609.0
45.42564000,-71.1258800,609.0
45.42565000,-71.1258300,609.0
45.42565000,-71.1258000,608.0
45.42565000,-71.1257500,608.0
45.42565000,-71.1256900,608.0
45.42566000,-71.1256100,608.0
45.42566000,-71.1255300,608.0
45.42568000,-71.1253200,608.0
45.42568000,-71.1250600,610.0
45.42569000,-71.1250100,610.0
45.42569000,-71.1249600,610.0
45.42572000,-71.1248900,611.0
45.42575000,-71.1248700,611.0
45.42577000,-71.1248600,611.0
45.42596000,-71.1248200,613.0
45.42597000,-71.1248200,613.0
45.42611000,-71.1247600,614.0
45.42628000,-71.1247100,617.0
45.42638000,-71.1246800,619.0
45.42645000,-71.1246600,620.0
45.42652000,-71.1246400,621.0
45.42660000,-71.1246100,622.0
45.42667000,-71.1245500,623.0
45.42675000,-71.1244500,624.0
45.42679000,-71.1244300,624.0
45.42681000,-71.1244200,625.0
45.42683000,-71.1244200,625.0
45.42687000,-71.1244300,625.0
45.42694000,-71.1244400,626.0
45.42700000,-71.1244400,627.0
45.42703000,-71.1244400,628.0
45.42707000,-71.1244300,628.0
45.42714000,-71.1243700,629.0
45.42721000,-71.1242900,630.0
45.42733000,-71.1241700,632.0
45.42738000,-71.1241100,632.0
45.42742000,-71.1240700,633.0
45.42745000,-71.1240500,633.0
45.42750000,-71.1240500,634.0
45.42754000,-71.1240800,634.0
45.42758000,-71.1241100,635.0
45.42762000,-71.1241400,635.0
45.42766000,-71.1241700,636.0
45.42772000,-71.1242000,637.0
45.42785000,-71.1242300,639.0
45.42788000,-71.1242300,639.0
45.42795000,-71.1242500,640.0
45.42807000,-71.1242900,642.0
45.42814000,-71.1243300,642.0
45.42827000,-71.1244400,643.0
45.42834000,-71.1244700,644.0
45.42841000,-71.1245000,644.0
45.42848000,-71.1245200,644.0
45.42853000,-71.1245500,644.0
45.42859000,-71.1245900,645.0
45.42866000,-71.1246500,646.0
45.42870000,-71.1246800,646.0
45.42878000,-71.1247100,647.0
45.42885000,-71.1247100,648.0
45.42897000,-71.1246600,650.0
45.42906000,-71.1246600,651.0
45.42912000,-71.1246700,652.0
45.42923000,-71.1247100,653.0
45.42930000,-71.1247400,654.0
45.42934000,-71.1247600,655.0
45.42942000,-71.1248200,656.0
45.42952000,-71.1249000,659.0
45.42957000,-71.1249200,660.0
45.42960000,-71.1249200,660.0
45.42962000,-71.1249100,661.0
45.42966000,-71.1248800,661.0
45.42974000,-71.1247800,662.0
45.42987000,-71.1245700,662.0
45.42997000,-71.1244300,662.0
45.43005000,-71.1243400,663.0
45.43010000,-71.1243000,663.0
45.43016000,-71.1242500,664.0
45.43020000,-71.1242400,664.0
45.43028000,-71.1242600,666.0
45.43033000,-71.1243000,667.0
45.43052000,-71.1244600,672.0
45.43059000,-71.1245100,674.0
45.43070000,-71.1245900,676.0
45.43078000,-71.1246500,678.0
45.43085000,-71.1246900,679.0
45.43092000,-71.1247400,681.0
45.43102000,-71.1248000,683.0
45.43113000,-71.1248400,685.0
45.43120000,-71.1248700,686.0
45.43125000,-71.1248800,686.0
45.43127000,-71.1248800,686.0
45.43129000,-71.1248900,687.0
45.43135000,-71.1248900,687.0
45.43149000,-71.1248600,688.0
45.43161000,-71.1248300,690.0
45.43166000,-71.1248100,690.0
45.43169000,-71.1248000,691.0
45.43173000,-71.1247900,691.0
45.43178000,-71.1247700,693.0
45.43184000,-71.1247400,694.0
45.43191000,-71.1246800,695.0
45.43200000,-71.1245300,696.0
45.43213000,-71.1242100,698.0
45.43221000,-71.1240500,699.0
45.43225000,-71.1239900,700.0
45.43228000,-71.1239400,700.0
45.43233000,-71.1238700,702.0
45.43238000,-71.1237800,703.0
45.43243000,-71.1236700,704.0
45.43247000,-71.1236300,705.0
45.43251000,-71.1236000,706.0
45.43253000,-71.1235900,706.0
45.43260000,-71.1235800,708.0
45.43290000,-71.1235800,716.0
45.43297000,-71.1235700,718.0
45.43304000,-71.1235600,720.0
45.43313000,-71.1235500,723.0
45.43323000,-71.1235400,726.0
45.43337000,-71.1235100,730.0
45.43350000,-71.1234600,733.0
45.43374000,-71.1232900,738.0
45.43385000,-71.1232500,741.0
45.43392000,-71.1232200,743.0
45.43399000,-71.1232100,745.0
45.43408000,-71.1231800,748.0
45.43422000,-71.1231300,753.0
45.43434000,-71.1230800,757.0
45.43437000,-71.1230600,758.0
45.43447000,-71.1229600,761.0
45.43455000,-71.1229000,764.0
45.43463000,-71.1228500,767.0
45.43472000,-71.1228300,772.0
45.43477000,-71.1228300,774.0
45.43480000,-71.1228400,775.0
45.43480000,-71.1228600,775.0
45.43480000,-71.1228800,776.0
45.43479000,-71.1229300,777.0
45.43480000,-71.1229900,778.0
45.43482000,-71.1230100,779.0
45.43484000,-71.1230200,780.0
45.43487000,-71.1230000,781.0
45.43489000,-71.1229900,781.0
45.43492000,-71.1229600,781.0
45.43494000,-71.1229500,782.0
45.43500000,-71.1229300,783.0
45.43508000,-71.1229300,786.0
45.43513000,-71.1229200,787.0
45.43520000,-71.1228500,788.0
45.43523000,-71.1228100,789.0
45.43526000,-71.1227700,789.0
45.43527000,-71.1227500,789.0
45.43529000,-71.1227300,789.0
45.43532000,-71.1227000,791.0
45.43536000,-71.1227200,793.0
45.43536000,-71.1227900,794.0
45.43536000,-71.1228500,795.0
45.43536000,-71.1228600,796.0
45.43538000,-71.1228800,797.0
45.43539000,-71.1229000,798.0
45.43539000,-71.1229100,798.0
45.43540000,-71.1229100,799.0
45.43544000,-71.1229000,801.0
45.43548000,-71.1228700,802.0
45.43550000,-71.1228600,803.0
45.43552000,-71.1228600,804.0
45.43557000,-71.1228500,807.0
45.43562000,-71.1228500,809.0
45.43566000,-71.1228900,812.0
45.43569000,-71.1229400,814.0
45.43573000,-71.1229500,816.0
45.43577000,-71.1229600,818.0
45.43579000,-71.1229800,820.0
45.43580000,-71.1229900,821.0
45.43580000,-71.1230000,821.0
45.43580000,-71.1230100,821.0
45.43581000,-71.1230500,822.0
45.43581000,-71.1231000,823.0
45.43580000,-71.1231700,824.0
45.43578000,-71.1232400,825.0
45.43575000,-71.1233600,826.0
45.43575000,-71.1235100,828.0
45.43575000,-71.1236100,829.0
45.43576000,-71.1236700,831.0
45.43576000,-71.1237100,831.0
45.43577000,-71.1237600,832.0
45.43577000,-71.1238000,833.0
45.43579000,-71.1239100,835.0
45.43579000,-71.1239500,836.0
45.43581000,-71.1240500,839.0
45.43582000,-71.1241600,842.0
45.43583000,-71.1242000,843.0
45.43583000,-71.1242400,844.0
45.43584000,-71.1242900,845.0
45.43584000,-71.1244100,847.0
45.43581000,-71.1245200,848.0
45.43576000,-71.1245900,847.0
45.43574000,-71.1246400,847.0
45.43572000,-71.1246600,846.0
45.43572000,-71.1246900,847.0
45.43572000,-71.1247000,847.0
45.43575000,-71.1247000,849.0
45.43579000,-71.1246900,851.0
45.43583000,-71.1246800,852.0
45.43586000,-71.1246800,854.0
45.43588000,-71.1246800,854.0
45.43590000,-71.1247000,856.0
45.43591000,-71.1247200,856.0
45.43592000,-71.1247900,858.0
45.43592000,-71.1248400,859.0
45.43591000,-71.1248900,859.0
45.43591000,-71.1249700,861.0
45.43591000,-71.1250000,861.0
45.43593000,-71.1250700,863.0
45.43599000,-71.1252600,868.0
45.43609000,-71.1255200,873.0
45.43611000,-71.1255700,873.0
45.43614000,-71.1255800,875.0
45.43616000,-71.1255700,876.0
45.43618000,-71.1255300,877.0
45.43620000,-71.1255000,877.0
45.43622000,-71.1254700,878.0
45.43623000,-71.1254400,878.0
45.43626000,-71.1254100,879.0
45.43627000,-71.1254000,880.0
45.43628000,-71.1254000,880.0
45.43629000,-71.1254100,881.0
45.43633000,-71.1255300,883.0
45.43635000,-71.1255600,885.0
45.43636000,-71.1255700,885.0
45.43642000,-71.1255700,888.0
45.43646000,-71.1255500,889.0
45.43649000,-71.1255400,891.0
45.43652000,-71.1255200,892.0
45.43653000,-71.1255100,892.0
45.43654000,-71.1254800,893.0
45.43655000,-71.1254600,893.0
45.43659000,-71.1254400,895.0
45.43662000,-71.1254400,896.0
45.43667000,-71.1254500,899.0
45.43671000,-71.1254600,900.0
45.43675000,-71.1254700,902.0
45.43676000,-71.1254800,903.0
45.43678000,-71.1254900,904.0
45.43680000,-71.1255200,904.0
45.43681000,-71.1255600,905.0
45.43682000,-71.1255700,905.0
45.43684000,-71.1255800,906.0
45.43685000,-71.1256000,906.0
45.43687000,-71.1256300,906.0
45.43688000,-71.1256400,906.0
45.43689000,-71.1256300,907.0
45.43690000,-71.1256100,908.0
45.43692000,-71.1255800,909.0
45.43693000,-71.1255600,910.0
45.43694000,-71.1255600,910.0
45.43696000,-71.1255400,911.0
45.43708000,-71.1255100,917.0
45.43711000,-71.1254700,919.0
45.43720000,-71.1253900,924.0
45.43723000,-71.1253700,925.0
45.43728000,-71.1253500,927.0
45.43734000,-71.1253100,929.0
45.43739000,-71.1252500,931.0
45.43747000,-71.1251800,934.0
45.43750000,-71.1251400,935.0
45.43755000,-71.1251000,937.0
45.43760000,-71.1250400,938.0
45.43764000,-71.1250100,940.0
45.43768000,-71.1249800,941.0
45.43771000,-71.1249700,942.0
45.43773000,-71.1249600,942.0
45.43777000,-71.1249400,944.0
45.43783000,-71.1249000,945.0
45.43789000,-71.1248400,946.0
45.43813000,-71.1247000,950.0
45.43827000,-71.1246400,951.0
45.43835000,-71.1246300,952.0
45.43839000,-71.1246100,953.0
45.43845000,-71.1246000,953.0
45.43852000,-71.1245800,954.0
45.43858000,-71.1245500,955.0
45.43864000,-71.1245000,956.0
45.43873000,-71.1244300,957.0
45.43885000,-71.1243000,958.0
45.43897000,-71.1242000,959.0
45.43900000,-71.1241500,959.0
45.43908000,-71.1239900,958.0
45.43912000,-71.1239300,959.0
45.43919000,-71.1239100,959.0
45.43926000,-71.1239000,959.0
45.43931000,-71.1238900,958.0
45.43933000,-71.1238700,958.0
45.43936000,-71.1238400,958.0
45.43937000,-71.1237900,958.0
45.43937000,-71.1237600,959.0
45.43939000,-71.1236600,959.0
45.43946000,-71.1234800,959.0
45.43948000,-71.1234500,959.0
45.43950000,-71.1234200,959.0
45.43954000,-71.1234000,959.0
45.43966000,-71.1233700,959.0
45.43969000,-71.1233500,959.0
45.43972000,-71.1233400,959.0
45.43975000,-71.1233000,960.0
45.43977000,-71.1232700,960.0
45.43979000,-71.1232100,960.0
45.43981000,-71.1231600,960.0
45.43985000,-71.1231300,961.0
45.43989000,-71.1231000,961.0
45.43993000,-71.1230800,962.0
45.43995000,-71.1230500,962.0
45.43998000,-71.1230100,962.0
45.44000000,-71.1229000,962.0
45.44002000,-71.1228400,962.0
45.44005000,-71.1227400,962.0
45.44007000,-71.1227000,962.0
45.44012000,-71.1226400,962.0
45.44020000,-71.1225500,964.0
45.44024000,-71.1224900,964.0
45.44031000,-71.1224100,965.0
45.44034000,-71.1223500,964.0
45.44039000,-71.1222900,965.0
45.44043000,-71.1222400,966.0
45.44047000,-71.1222000,966.0
45.44052000,-71.1221700,967.0
45.44056000,-71.1221300,968.0
45.44061000,-71.1220900,967.0
45.44068000,-71.1220400,967.0
45.44070000,-71.1220100,967.0
45.44071000,-71.1219800,967.0
45.44071000,-71.1219300,966.0
45.44070000,-71.1218900,965.0
45.44071000,-71.1218800,965.0
45.44072000,-71.1218600,964.0
45.44077000,-71.1218400,965.0
45.44081000,-71.1218400,966.0
45.44084000,-71.1218400,967.0
45.44090000,-71.1218200,966.0
45.44094000,-71.1217900,966.0
45.44105000,-71.1217100,965.0
45.44107000,-71.1217000,965.0
45.44115000,-71.1217000,966.0
45.44119000,-71.1216800,966.0
45.44122000,-71.1216600,967.0
45.44125000,-71.1216300,966.0
45.44128000,-71.1215900,966.0
45.44134000,-71.1215300,966.0
45.44138000,-71.1214900,966.0
45.44143000,-71.1214400,967.0
45.44148000,-71.1214200,967.0
45.44153000,-71.1213700,967.0
45.44157000,-71.1213400,967.0
45.44164000,-71.1212500,967.0
45.44167000,-71.1212300,967.0
45.44169000,-71.1212200,968.0
45.44170000,-71.1212300,968.0
45.44170000,-71.1212400,968.0
45.44171000,-71.1213400,970.0
45.44170000,-71.1213900,970.0
45.44170000,-71.1214100,970.0
45.44171000,-71.1214200,971.0
45.44173000,-71.1214100,971.0
45.44174000,-71.1214100,971.0
45.44175000,-71.1214000,972.0
45.44178000,-71.1214300,973.0
45.44180000,-71.1214700,973.0
45.44182000,-71.1215200,974.0
45.44183000,-71.1215500,974.0
45.44184000,-71.1215600,975.0
45.44186000,-71.1215700,975.0
45.44188000,-71.1215800,976.0
45.44190000,-71.1215700,976.0
45.44193000,-71.1215600,977.0
45.44202000,-71.1214500,979.0
45.44205000,-71.1214100,979.0
45.44210000,-71.1213800,980.0
45.44215000,-71.1213700,981.0
45.44218000,-71.1213800,982.0
45.44220000,-71.1214000,983.0
45.44227000,-71.1215200,984.0
45.44228000,-71.1215300,985.0
45.44233000,-71.1215600,985.0
45.44241000,-71.1215800,987.0
45.44248000,-71.1215700,988.0
45.44257000,-71.1215900,990.0
45.44264000,-71.1215900,991.0
45.44267000,-71.1215900,992.0
45.44269000,-71.1215800,993.0
45.44271000,-71.1215600,993.0
45.44284000,-71.1213600,998.0
45.44287000,-71.1212900,999.0
45.44290000,-71.1212400,1000.0
45.44297000,-71.1211600,1003.0
45.44299000,-71.1211200,1004.0
45.44303000,-71.1210700,1005.0
45.44307000,-71.1210500,1006.0
45.44323000,-71.1209800,1009.0
45.44330000,-71.1209600,1010.0
45.44336000,-71.1209500,1011.0
45.44340000,-71.1209600,1012.0
45.44346000,-71.1209700,1012.0
45.44356000,-71.1210000,1013.0
45.44358000,-71.1210000,1013.0
45.44361000,-71.1209900,1014.0
45.44364000,-71.1209500,1014.0
45.44371000,-71.1208400,1016.0
45.44373000,-71.1208000,1017.0
45.44389000,-71.1206600,1019.0
45.44399000,-71.1205900,1020.0
45.44403000,-71.1205600,1021.0
45.44410000,-71.1205400,1022.0
45.44416000,-71.1205400,1022.0
45.44420000,-71.1205400,1023.0
45.44424000,-71.1205600,1023.0
45.44430000,-71.1205900,1023.0
